Airtime,Carrier,Carrier_Delay,Day_of_week,Delay_Minutes,Dest,Distance,Date,Flight_Num,Late_Aircraft_Delay,NAS_Delay,Origin,Security_Delay,Tailnum,Weather_Delay,Temp,Dewpoint,Fog,Hail,Precip,Rain,Pressure,Snow,Thunder,Tornado,Visibility,Windspeed,Dep_hour
123.0,DL,,3,0.0,MSP,907.0,2011-08-31,340,,,ATL,,N924DN,,24.4,19.4,0.0,0.0,0.0,0.0,101.84,0.0,0.0,0.0,9.2,5.1000000000000005,7
240.0,CO,0.0,3,40.0,EWR,2227.0,2011-04-20,169,0.0,23.0,LAS,0.0,N57852,0.0,18.9,1.1,0.0,0.0,0.0,0.0,100.59,0.0,0.0,0.0,10.0,4.6000000000000005,11
43.0,WN,,3,1.0,LAX,236.0,2011-03-16,804,,,LAS,,N390SW,,18.3,1.1,0.0,0.0,0.0,0.0,100.94,0.0,0.0,0.0,10.0,8.8,15
149.0,WN,,6,-5.0,MDW,989.0,2011-03-19,2915,,,MCO,,N601WN,,25.6,10.0,0.0,0.0,0.0,0.0,102.41,0.0,0.0,0.0,10.0,2.6,16
147.0,B6,9.0,6,14.0,MCO,950.0,2011-10-15,393,5.0,8.0,LGA,0.0,N527JB,0.0,15.0,5.6000000000000005,0.0,0.0,0.0,0.0,100.4,0.0,0.0,0.0,10.0,6.7,14
67.0,XE,163.0,3,163.0,OMA,416.0,2011-07-27,6053,0.0,18.0,ORD,0.0,N11191,0.0,22.200000000000006,15.0,0.0,0.0,0.0,1.0,101.32,0.0,1.0,0.0,10.0,,8
263.0,DL,,4,20.0,JFK,2248.0,2011-05-19,1728,,,LAS,,N6714Q,,17.2,-1.7000000000000002,0.0,0.0,0.0,0.0,100.6,0.0,0.0,0.0,10.0,1.5,16
146.0,AA,,4,15.0,FLL,1182.0,2011-01-13,556,,,ORD,,N3BMAA,,-5.0,-11.1,0.0,0.0,0.0,0.0,103.08,1.0,0.0,0.0,9.7,,19
35.0,B6,2.0,2,19.0,BOS,200.0,2011-06-28,1174,15.0,0.0,EWR,0.0,N318JB,0.0,23.3,20.0,0.0,0.0,0.0,0.0,101.38,0.0,0.0,0.0,9.0,1.5,11
148.0,B6,15.0,3,15.0,FLL,1065.0,2011-03-23,507,0.0,48.0,EWR,0.0,N554JB,0.0,2.8000000000000003,0.0,1.0,0.0,0.0,1.0,101.45,1.0,1.0,0.0,4.1,3.1,6
89.0,XE,,3,-5.0,BHM,584.0,2011-09-14,6053,,,ORD,,N14543,,13.3,6.7,0.0,0.0,-1.0,1.0,101.9,0.0,0.0,0.0,7.4,,19
32.0,EV,,7,-5.0,CAE,192.0,2011-09-11,5094,,,ATL,,N914EV,,17.8,10.6,0.0,0.0,0.0,0.0,101.68,0.0,0.0,0.0,10.0,0.0,9
90.0,MQ,,1,-3.0,EWR,719.0,2011-06-13,3738,,,ORD,,N535MQ,,17.8,7.2,0.0,0.0,0.0,0.0,102.17,0.0,0.0,0.0,10.0,4.1000000000000005,14
82.0,MQ,,4,-2.0,MDT,594.0,2011-06-23,4023,,,ORD,,N680MQ,,20.0,15.0,0.0,0.0,0.0,1.0,100.25,0.0,0.0,0.0,9.7,,19
