Airtime,Carrier,Carrier_Delay,Day_of_week,Delay_Minutes,Dest,Distance,Date,Flight_Num,Late_Aircraft_Delay,NAS_Delay,Origin,Security_Delay,Tailnum,Weather_Delay,Temp,Dewpoint,Fog,Hail,Precip,Rain,Pressure,Snow,Thunder,Tornado,Visibility,Windspeed,Dep_hour
59.0,UA,,7,-4.0,SFO,337.0,2012-12-16,1738,,,LAX,,N73256,,13.3,5.0,0.0,0.0,0.0,1.0,101.93,0.0,0.0,0.0,9.6,2.1,10
85.0,DL,18.0,2,25.0,DTW,594.0,2012-09-04,1640,0.0,0.0,ATL,0.0,N693DL,0.0,22.8,21.1,0.0,0.0,-1.0,1.0,101.37,0.0,0.0,0.0,7.5,2.6,14
85.0,YV,,3,-3.0,RNO,601.0,2012-09-26,2726,,,PHX,,N913FJ,,23.3,6.7,0.0,0.0,0.0,0.0,100.74,0.0,0.0,0.0,10.0,2.1,13
107.0,YV,,2,3.0,ORD,802.0,2012-07-24,3738,,,DFW,,N514MJ,,32.800000000000004,20.0,0.0,0.0,0.0,0.0,101.64,0.0,0.0,0.0,10.0,4.6000000000000005,17
283.0,US,,4,-1.0,PHX,2133.0,2012-08-16,681,,,EWR,,N651AW,,27.200000000000006,16.7,0.0,0.0,0.0,1.0,101.24,0.0,0.0,0.0,9.9,3.6,16
58.0,OO,,5,0.0,SFO,337.0,2012-03-30,4784,,,LAX,,N633SK,,13.3,10.0,1.0,0.0,0.0,0.0,101.49,0.0,0.0,0.0,5.7,2.1,12
99.0,WN,,5,6.0,HOU,696.0,2012-09-21,38,,,ATL,,N631SW,,18.9,18.3,1.0,0.0,0.0,0.0,101.84,0.0,0.0,0.0,7.4,2.1,13
39.0,DL,,7,-4.0,BNA,214.0,2012-07-29,852,,,ATL,,N774NC,,24.4,22.200000000000006,0.0,0.0,0.0,0.0,101.58,0.0,0.0,0.0,10.0,1.5,12
73.0,US,,2,-3.0,EWR,529.0,2012-11-13,1576,,,CLT,,N170US,,9.4,8.9,0.0,0.0,-1.0,1.0,102.45,0.0,0.0,0.0,9.3,3.6,12
250.0,UA,,7,-2.0,IAD,2288.0,2012-03-04,584,,,LAX,,N665UA,,24.4,-3.9,0.0,0.0,0.0,0.0,101.58,0.0,0.0,0.0,10.0,6.2,23
83.0,OO,,7,-6.0,RAP,489.0,2012-11-18,4699,,,MSP,,N438SW,,8.3,-0.6000000000000001,0.0,0.0,0.0,0.0,102.17,0.0,0.0,0.0,9.5,5.7,11
48.0,US,,6,-5.0,SAN,304.0,2012-06-02,192,,,PHX,,N507AY,,40.6,-2.2,0.0,0.0,0.0,0.0,100.55,0.0,0.0,0.0,10.0,3.1,20
142.0,UA,0.0,4,163.0,EWR,1085.0,2012-06-14,948,107.0,0.0,MIA,0.0,N842UA,17.0,33.9,20.0,0.0,0.0,0.0,0.0,101.39,0.0,0.0,0.0,10.0,1.5,20
